target_id	length	eff_length	est_counts	tpm
DAnjou_Chr10v0.1_26204.1	1326	1168.39	76	3.00727
DAnjou_Chr4v0.1_08960.1	597	439.45	0	0
DAnjou_Chr4v0.1_08961.1	528	370.632	0	0
DAnjou_Chr4v0.1_08962.1	864	706.387	0	0
DAnjou_Chr10v0.1_26190.1	369	213.753	0	0
DAnjou_Chr10v0.1_26189.1	651	493.387	154	14.4304
DAnjou_Chr10v0.1_26188.1	1113	955.387	14.2518	0.689663
DAnjou_Chr10v0.1_26187.1	2157	1999.39	14	0.323725
DAnjou_Chr10v0.1_26186.1	1290	1132.39	89.2558	3.64407
DAnjou_Chr10v0.1_26185.1	771	613.387	799.228	60.2395
DAnjou_Chr10v0.1_26184.1	2298	2140.39	60	1.296
DAnjou_Chr10v0.1_26183.1	360	205.122	0	0
DAnjou_Chr10v0.1_26182.1	840	682.387	0	0
DAnjou_Chr10v0.1_26181.1	1011	853.387	1312	71.0777
DAnjou_Chr10v0.1_26180.1	1953	1795.39	999	25.7248
DAnjou_Chr10v0.1_26179.1	549	391.562	294.415	34.762
DAnjou_Chr5v0.1_13484.1	2088	1930.39	420.47	10.0702
DAnjou_Chr10v0.1_26177.1	363	207.997	86	19.1155
DAnjou_Chr10v0.1_26178.1	2451	2293.39	620.321	12.505
DAnjou_Chr10v0.1_26176.1	948	790.387	1842	107.745
DAnjou_Chr10v0.1_26175.1	1617	1459.39	40	1.26717
DAnjou_Chr10v0.1_26172.1	2139	1981.39	2	0.0466666
DAnjou_Chr10v0.1_26170.1	1366	1208.39	7	0.267817
DAnjou_Chr10v0.1_26169.1	623	465.387	9.13201	0.907189
DAnjou_Chr10v0.1_26168.1	2160	2002.39	2	0.0461772
DAnjou_Chr10v0.1_26167.1	1710	1552.39	1942.25	57.8429
DAnjou_Chr10v0.1_26166.1	218	76.2385	0	0
DAnjou_Chr10v0.1_26165.1	513	355.648	16	2.07991
DAnjou_Chr10v0.1_26164.1	1782	1624.39	332	9.44918
DAnjou_Chr10v0.1_26163.1	492	334.695	141	19.4767
