target_id	length	eff_length	est_counts	tpm
DAnjou_Chr4v0.1_08960.1	597	438.197	2	0.163839
DAnjou_Chr4v0.1_08961.1	528	369.368	0	0
DAnjou_Chr4v0.1_08962.1	864	705.107	0	0
DAnjou_Chr10v0.1_26190.1	369	213.488	0	0
DAnjou_Chr10v0.1_26189.1	651	492.107	263	19.1846
DAnjou_Chr10v0.1_26188.1	1113	954.107	14	0.52673
DAnjou_Chr10v0.1_26187.1	2157	1998.11	37	0.664722
DAnjou_Chr10v0.1_26186.1	1290	1131.11	479.538	15.2187
DAnjou_Chr10v0.1_26185.1	771	612.107	550.239	32.2687
DAnjou_Chr10v0.1_26184.1	2298	2139.11	1023	17.1672
DAnjou_Chr10v0.1_26183.1	360	204.998	1	0.175109
DAnjou_Chr10v0.1_26182.1	840	681.107	0	0
DAnjou_Chr10v0.1_26181.1	1011	852.107	481	20.2632
DAnjou_Chr10v0.1_26180.1	1953	1794.11	751	15.0262
DAnjou_Chr10v0.1_26179.1	549	390.295	170	15.6355
DAnjou_Chr5v0.1_13484.1	2088	1929.11	740.35	13.7765
DAnjou_Chr10v0.1_26177.1	363	207.775	259	44.7469
DAnjou_Chr10v0.1_26178.1	2451	2292.11	1082.38	16.9512
DAnjou_Chr10v0.1_26176.1	948	789.107	3464	157.579
DAnjou_Chr10v0.1_26175.1	1617	1458.11	73	1.79718
DAnjou_Chr10v0.1_26172.1	2139	1980.11	0	0
DAnjou_Chr10v0.1_26170.1	1366	1207.11	17	0.505545
DAnjou_Chr10v0.1_26169.1	623	464.176	5	0.386674
DAnjou_Chr10v0.1_26168.1	2160	2001.11	6	0.107631
DAnjou_Chr10v0.1_26167.1	1710	1551.11	3690.78	85.4148
DAnjou_Chr10v0.1_26166.1	218	78.4513	0	0
DAnjou_Chr10v0.1_26165.1	513	354.598	6	0.607396
DAnjou_Chr10v0.1_26164.1	1782	1623.11	569	12.5841
DAnjou_Chr10v0.1_26163.1	492	333.665	167	17.9665
DAnjou_Chr10v0.1_26162.1	894	735.107	309.741	15.1253
