target_id	gene_id
DAnjou_Chr10v0.1_26211.1	DAnjou_Chr10v0.1_26211
DAnjou_Chr10v0.1_26210.1	DAnjou_Chr10v0.1_26210
DAnjou_Chr10v0.1_26209.1	DAnjou_Chr10v0.1_26209
DAnjou_Chr10v0.1_26208.1	DAnjou_Chr10v0.1_26208
DAnjou_Chr10v0.1_26207.1	DAnjou_Chr10v0.1_26207
DAnjou_Chr10v0.1_26206.1	DAnjou_Chr10v0.1_26206
DAnjou_Chr10v0.1_26205.1	DAnjou_Chr10v0.1_26205
DAnjou_Chr10v0.1_26204.1	DAnjou_Chr10v0.1_26204
DAnjou_Chr4v0.1_08960.1	DAnjou_Chr4v0.1_08960
DAnjou_Chr4v0.1_08961.1	DAnjou_Chr4v0.1_08961
DAnjou_Chr4v0.1_08962.1	DAnjou_Chr4v0.1_08962
DAnjou_Chr10v0.1_26190.1	DAnjou_Chr10v0.1_26190
DAnjou_Chr10v0.1_26189.1	DAnjou_Chr10v0.1_26189
DAnjou_Chr10v0.1_26188.1	DAnjou_Chr10v0.1_26188
DAnjou_Chr10v0.1_26187.1	DAnjou_Chr10v0.1_26187
DAnjou_Chr10v0.1_26186.1	DAnjou_Chr10v0.1_26186
DAnjou_Chr10v0.1_26185.1	DAnjou_Chr10v0.1_26185
DAnjou_Chr10v0.1_26184.1	DAnjou_Chr10v0.1_26184
DAnjou_Chr10v0.1_26183.1	DAnjou_Chr10v0.1_26183
DAnjou_Chr10v0.1_26182.1	DAnjou_Chr10v0.1_26182
DAnjou_Chr10v0.1_26181.1	DAnjou_Chr10v0.1_26181
DAnjou_Chr10v0.1_26180.1	DAnjou_Chr10v0.1_26180
DAnjou_Chr10v0.1_26179.1	DAnjou_Chr10v0.1_26179
DAnjou_Chr5v0.1_13484.1	DAnjou_Chr5v0.1_13484
DAnjou_Chr10v0.1_26177.1	DAnjou_Chr10v0.1_26177
DAnjou_Chr10v0.1_26178.1	DAnjou_Chr10v0.1_26178
DAnjou_Chr10v0.1_26176.1	DAnjou_Chr10v0.1_26176
DAnjou_Chr10v0.1_26175.1	DAnjou_Chr10v0.1_26175
DAnjou_Chr10v0.1_26172.1	DAnjou_Chr10v0.1_26172
DAnjou_Chr10v0.1_26170.1	DAnjou_Chr10v0.1_26170
DAnjou_Chr10v0.1_26169.1	DAnjou_Chr10v0.1_26169
DAnjou_Chr10v0.1_26168.1	DAnjou_Chr10v0.1_26168
DAnjou_Chr10v0.1_26167.1	DAnjou_Chr10v0.1_26167
DAnjou_Chr10v0.1_26166.1	DAnjou_Chr10v0.1_26166
DAnjou_Chr10v0.1_26165.1	DAnjou_Chr10v0.1_26165
DAnjou_Chr10v0.1_26164.1	DAnjou_Chr10v0.1_26164
DAnjou_Chr10v0.1_26163.1	DAnjou_Chr10v0.1_26163
DAnjou_Chr10v0.1_26162.1	DAnjou_Chr10v0.1_26162
DAnjou_Chr10v0.1_26161.1	DAnjou_Chr10v0.1_26161
DAnjou_Chr10v0.1_26160.1	DAnjou_Chr10v0.1_26160
DAnjou_Chr10v0.1_26159.1	DAnjou_Chr10v0.1_26159
DAnjou_Chr10v0.1_26158.1	DAnjou_Chr10v0.1_26158
DAnjou_Chr10v0.1_26157.1	DAnjou_Chr10v0.1_26157
DAnjou_Chr10v0.1_26156.1	DAnjou_Chr10v0.1_26156
DAnjou_Chr10v0.1_26155.1	DAnjou_Chr10v0.1_26155
DAnjou_Chr10v0.1_26154.1	DAnjou_Chr10v0.1_26154
DAnjou_Chr10v0.1_26153.1	DAnjou_Chr10v0.1_26153
DAnjou_Chr10v0.1_26152.1	DAnjou_Chr10v0.1_26152
DAnjou_Chr10v0.1_26151.1	DAnjou_Chr10v0.1_26151
DAnjou_Chr10v0.1_26150.1	DAnjou_Chr10v0.1_26150
DAnjou_Chr10v0.1_26149.1	DAnjou_Chr10v0.1_26149
DAnjou_Chr10v0.1_26148.1	DAnjou_Chr10v0.1_26148
DAnjou_Chr10v0.1_26147.1	DAnjou_Chr10v0.1_26147
DAnjou_Chr10v0.1_26146.1	DAnjou_Chr10v0.1_26146
DAnjou_Chr10v0.1_26145.1	DAnjou_Chr10v0.1_26145
DAnjou_Chr10v0.1_26144.1	DAnjou_Chr10v0.1_26144
DAnjou_Chr10v0.1_26143.1	DAnjou_Chr10v0.1_26143
DAnjou_Chr10v0.1_26142.1	DAnjou_Chr10v0.1_26142
DAnjou_Chr10v0.1_26141.1	DAnjou_Chr10v0.1_26141
DAnjou_Chr10v0.1_26140.1	DAnjou_Chr10v0.1_26140
DAnjou_Chr10v0.1_26139.1	DAnjou_Chr10v0.1_26139
DAnjou_Chr10v0.1_26138.1	DAnjou_Chr10v0.1_26138
DAnjou_Chr10v0.1_26137.1	DAnjou_Chr10v0.1_26137
DAnjou_Chr10v0.1_26136.1	DAnjou_Chr10v0.1_26136
DAnjou_Chr10v0.1_26135.1	DAnjou_Chr10v0.1_26135
DAnjou_Chr10v0.1_26134.1	DAnjou_Chr10v0.1_26134
DAnjou_Chr10v0.1_26133.1	DAnjou_Chr10v0.1_26133
DAnjou_Chr10v0.1_26132.1	DAnjou_Chr10v0.1_26132
DAnjou_Chr10v0.1_26131.1	DAnjou_Chr10v0.1_26131
DAnjou_Chr10v0.1_26130.1	DAnjou_Chr10v0.1_26130
DAnjou_Chr10v0.1_26129.1	DAnjou_Chr10v0.1_26129
DAnjou_Chr10v0.1_26128.1	DAnjou_Chr10v0.1_26128
DAnjou_Chr10v0.1_26127.1	DAnjou_Chr10v0.1_26127
DAnjou_Chr10v0.1_26126.1	DAnjou_Chr10v0.1_26126
DAnjou_Chr10v0.1_26125.1	DAnjou_Chr10v0.1_26125
DAnjou_Chr10v0.1_26124.1	DAnjou_Chr10v0.1_26124
DAnjou_Chr10v0.1_26123.1	DAnjou_Chr10v0.1_26123
DAnjou_Chr10v0.1_26109.1	DAnjou_Chr10v0.1_26109
DAnjou_Chr10v0.1_26122.1	DAnjou_Chr10v0.1_26122
DAnjou_Chr10v0.1_26121.1	DAnjou_Chr10v0.1_26121
DAnjou_Chr10v0.1_26108.1	DAnjou_Chr10v0.1_26108
DAnjou_Chr10v0.1_26119.1	DAnjou_Chr10v0.1_26119
DAnjou_Chr10v0.1_26118.1	DAnjou_Chr10v0.1_26118
DAnjou_Chr10v0.1_26117.1	DAnjou_Chr10v0.1_26117
DAnjou_Chr10v0.1_26116.1	DAnjou_Chr10v0.1_26116
DAnjou_Chr10v0.1_26115.1	DAnjou_Chr10v0.1_26115
DAnjou_Chr10v0.1_26103.1	DAnjou_Chr10v0.1_26103
DAnjou_Chr10v0.1_26101.1	DAnjou_Chr10v0.1_26101
DAnjou_Chr10v0.1_26100.1	DAnjou_Chr10v0.1_26100
DAnjou_Chr10v0.1_26099.1	DAnjou_Chr10v0.1_26099
DAnjou_Chr10v0.1_26098.1	DAnjou_Chr10v0.1_26098
DAnjou_Chr10v0.1_26097.1	DAnjou_Chr10v0.1_26097
DAnjou_Chr10v0.1_26095.1	DAnjou_Chr10v0.1_26095
DAnjou_Chr10v0.1_26094.1	DAnjou_Chr10v0.1_26094
DAnjou_Chr10v0.1_26093.1	DAnjou_Chr10v0.1_26093
DAnjou_Chr10v0.1_26092.1	DAnjou_Chr10v0.1_26092
DAnjou_Chr10v0.1_26091.1	DAnjou_Chr10v0.1_26091
DAnjou_Chr10v0.1_26090.1	DAnjou_Chr10v0.1_26090
DAnjou_Chr10v0.1_26089.1	DAnjou_Chr10v0.1_26089
DAnjou_Chr10v0.1_26088.1	DAnjou_Chr10v0.1_26088
DAnjou_Chr10v0.1_26087.1	DAnjou_Chr10v0.1_26087
DAnjou_Chr10v0.1_26112.1	DAnjou_Chr10v0.1_26112
DAnjou_Chr10v0.1_26111.1	DAnjou_Chr10v0.1_26111
DAnjou_Chr10v0.1_26113.1	DAnjou_Chr10v0.1_26113
DAnjou_Chr10v0.1_26086.1	DAnjou_Chr10v0.1_26086
DAnjou_Chr10v0.1_26085.1	DAnjou_Chr10v0.1_26085
DAnjou_Chr10v0.1_26084.1	DAnjou_Chr10v0.1_26084
DAnjou_Chr10v0.1_26083.1	DAnjou_Chr10v0.1_26083
DAnjou_Chr10v0.1_26082.1	DAnjou_Chr10v0.1_26082
DAnjou_Chr10v0.1_26081.1	DAnjou_Chr10v0.1_26081
DAnjou_Chr10v0.1_26080.1	DAnjou_Chr10v0.1_26080
DAnjou_Chr10v0.1_26079.1	DAnjou_Chr10v0.1_26079
DAnjou_Chr10v0.1_26078.1	DAnjou_Chr10v0.1_26078
DAnjou_Chr10v0.1_26077.1	DAnjou_Chr10v0.1_26077
DAnjou_Chr10v0.1_26076.1	DAnjou_Chr10v0.1_26076
DAnjou_Chr10v0.1_26075.1	DAnjou_Chr10v0.1_26075
DAnjou_Chr10v0.1_26074.1	DAnjou_Chr10v0.1_26074
DAnjou_Chr10v0.1_26073.1	DAnjou_Chr10v0.1_26073
DAnjou_Chr10v0.1_26072.1	DAnjou_Chr10v0.1_26072
DAnjou_Chr10v0.1_26071.1	DAnjou_Chr10v0.1_26071
DAnjou_Chr10v0.1_26070.1	DAnjou_Chr10v0.1_26070
DAnjou_Chr10v0.1_26069.1	DAnjou_Chr10v0.1_26069
DAnjou_Chr10v0.1_26068.1	DAnjou_Chr10v0.1_26068
DAnjou_Chr10v0.1_26067.1	DAnjou_Chr10v0.1_26067
DAnjou_Chr10v0.1_26066.1	DAnjou_Chr10v0.1_26066
DAnjou_Chr10v0.1_26065.1	DAnjou_Chr10v0.1_26065
DAnjou_Chr10v0.1_26064.1	DAnjou_Chr10v0.1_26064
DAnjou_Chr10v0.1_26063.1	DAnjou_Chr10v0.1_26063
DAnjou_Chr10v0.1_26062.1	DAnjou_Chr10v0.1_26062
DAnjou_Chr12v0.1_31320.1	DAnjou_Chr12v0.1_31320
DAnjou_Chr12v0.1_31319.1	DAnjou_Chr12v0.1_31319
DAnjou_Chr12v0.1_31318.1	DAnjou_Chr12v0.1_31318
DAnjou_Chr12v0.1_31317.1	DAnjou_Chr12v0.1_31317
DAnjou_Chr12v0.1_31314.1	DAnjou_Chr12v0.1_31314
DAnjou_Chr10v0.1_26053.1	DAnjou_Chr10v0.1_26053
DAnjou_Chr10v0.1_26054.1	DAnjou_Chr10v0.1_26054
DAnjou_Chr10v0.1_26057.1	DAnjou_Chr10v0.1_26057
DAnjou_Chr10v0.1_26056.1	DAnjou_Chr10v0.1_26056
DAnjou_Chr10v0.1_26055.1	DAnjou_Chr10v0.1_26055
